"Story","Title","Result","Date","Stability","Duration (s)"
"Validate the division functionality in the calculator app","Validate the division by zero","SUCCESS","2021-09-09T10:34:22.6642436-05:00[America/Bogota]","0.0","34.58"
"Validate the division functionality in the calculator app","Validate the division of two positive numbers","SUCCESS","2021-09-09T10:34:57.2571685-05:00[America/Bogota]","0.0","48.37"
"Validate the division functionality in the calculator app","Validate the division with negative numbers","SUCCESS","2021-09-09T10:35:45.6342447-05:00[America/Bogota]","0.0","35.47"
"Validate the multiplication functionality in the calculator app","Validate the multiplication of two numbers where one of them is zero","SUCCESS","2021-09-09T10:36:27.7895663-05:00[America/Bogota]","0.0","37.39"
"Validate the multiplication functionality in the calculator app","Validate the multiplication of two positive numbers","SUCCESS","2021-09-09T10:37:05.1882986-05:00[America/Bogota]","0.0","40.06"
"Validate the multiplication functionality in the calculator app","Validate the multiplication with negative numbers","SUCCESS","2021-09-09T10:37:45.2554655-05:00[America/Bogota]","0.0","42.32"
"Validate the subtraction functionality in the calculator app","Validate the subtraction of two numbers where one of them is zero","SUCCESS","2021-09-09T10:38:30.2672239-05:00[America/Bogota]","0.0","73.37"
"Validate the subtraction functionality in the calculator app","Validate the subtraction of two positive numbers","SUCCESS","2021-09-09T10:39:43.6461184-05:00[America/Bogota]","0.0","33.81"
"Validate the subtraction functionality in the calculator app","Validate the subtraction of two numbers where the first number is negative","SUCCESS","2021-09-09T10:40:17.4603312-05:00[America/Bogota]","0.0","19.62"
"Validate the sum functionality in the calculator app","Validate the sum of two numbers where one of them is zero","SUCCESS","2021-09-09T10:40:38.9213294-05:00[America/Bogota]","0.0","33.49"
"Validate the sum functionality in the calculator app","Validate sum of two positive numbers","SUCCESS","2021-09-09T10:41:12.4151922-05:00[America/Bogota]","0.0","35.85"
"Validate the sum functionality in the calculator app","Validate the sum of two numbers where the first number is negative","SUCCESS","2021-09-09T10:41:48.2731938-05:00[America/Bogota]","0.0","35.96"
